CustomerID,FirstName,LastName,Email,Phone,Country,City,PostalCode,DateOfBirth,Gender,TrendID,Date,MarketSegment,Region,SalesVolume,SalesValue,MarketShare,GrowthRate,CompetitorInfo,TrendDescription,ProductID,ProductName,ProductGroupID,Price,Cost,SupplierID,StockLevel,ReorderLevel,Discontinued,Description,ProductGroupName,ParentGroupID,CreatedDate,UpdatedDate,IsActive,Category,SubCategory,Notes,SaleID,SaleDate,Quantity,UnitPrice,TotalPrice,PaymentMethod,StoreLocation,SalesRepID,AccessID,PageVisited,SessionDuration,ReferralSource,DeviceType,Browser,GeoLocation,EntryMethod,ExitMethod
1.0,Jack,Black,user1@example.com,7414497353.0,Canada,New York,74040.0,1980-01-01,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,John,White,user2@example.com,9771058220.0,Canada,Los Angeles,81366.0,1980-01-02,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,John,Johnson,user3@example.com,3610838440.0,Australia,Los Angeles,55042.0,1980-01-03,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Jane,Johnson,user4@example.com,6755073268.0,Australia,Los Angeles,42935.0,1980-01-04,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,John,Smith,user5@example.com,8680660273.0,USA,Houston,76468.0,1980-01-05,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Joe,Doe,user6@example.com,9817896009.0,Australia,Philadelphia,81867.0,1980-01-06,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,John,Johnson,user7@example.com,9251477773.0,Australia,Phoenix,61140.0,1980-01-07,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,John,Black,user8@example.com,9560787447.0,UK,Chicago,45267.0,1980-01-08,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Jack,Doe,user9@example.com,3548900724.0,USA,New York,48997.0,1980-01-09,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Jane,Doe,user10@example.com,6934997116.0,Canada,Houston,98303.0,1980-01-10,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Joe,Doe,user11@example.com,5025634380.0,USA,Houston,41842.0,1980-01-11,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Jane,Smith,user12@example.com,7326671655.0,USA,Houston,12093.0,1980-01-12,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,John,Smith,user13@example.com,3340133820.0,Canada,Chicago,59485.0,1980-01-13,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,Jane,Brown,user14@example.com,7465741833.0,Canada,Phoenix,21436.0,1980-01-14,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,Joe,Brown,user15@example.com,4938735134.0,UK,New York,37558.0,1980-01-15,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,Jill,Johnson,user16@example.com,7696973738.0,UK,Houston,94734.0,1980-01-16,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,John,Black,user17@example.com,3481690492.0,UK,Phoenix,72646.0,1980-01-17,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,Jane,Doe,user18@example.com,8914569064.0,Australia,Philadelphia,18688.0,1980-01-18,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,Jim,Johnson,user19@example.com,8170088797.0,Australia,Chicago,45139.0,1980-01-19,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,Jane,Johnson,user20@example.com,5706095743.0,USA,Houston,19949.0,1980-01-20,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,Jack,Black,user21@example.com,1506446054.0,USA,Phoenix,69244.0,1980-01-21,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,Jim,Black,user22@example.com,8589272545.0,UK,New York,95073.0,1980-01-22,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,Jack,Black,user23@example.com,6021019803.0,UK,New York,94650.0,1980-01-23,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,John,White,user24@example.com,5304667492.0,Canada,Phoenix,64206.0,1980-01-24,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,Jill,Black,user25@example.com,3252478090.0,Canada,New York,59967.0,1980-01-25,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,Jack,Doe,user26@example.com,2480858734.0,Australia,Los Angeles,80742.0,1980-01-26,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,Jim,Johnson,user27@example.com,3197368776.0,Canada,Phoenix,86740.0,1980-01-27,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,Jill,Johnson,user28@example.com,9558941704.0,USA,Los Angeles,10738.0,1980-01-28,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,John,Brown,user29@example.com,8836007528.0,UK,Philadelphia,82931.0,1980-01-29,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,Joe,Johnson,user30@example.com,5080371214.0,USA,New York,20116.0,1980-01-30,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,Jane,Brown,user31@example.com,7398659745.0,USA,New York,91483.0,1980-01-31,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,John,Doe,user32@example.com,6651365444.0,USA,Houston,57464.0,1980-02-01,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,Jack,Brown,user33@example.com,3417519776.0,Canada,New York,14563.0,1980-02-02,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,John,Johnson,user34@example.com,6996244660.0,Canada,Chicago,61847.0,1980-02-03,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,Jill,Black,user35@example.com,7581952031.0,USA,Phoenix,22983.0,1980-02-04,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,Jack,Smith,user36@example.com,4793413375.0,Canada,New York,25699.0,1980-02-05,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,Jack,White,user37@example.com,7792802541.0,UK,Phoenix,99858.0,1980-02-06,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,Jim,Johnson,user38@example.com,6585253050.0,Canada,Chicago,40310.0,1980-02-07,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
